[3, 0]
[6, 0]
[9, 0]
[12, 0]
[15, 0]
[18, 0]
[21, 0]
[24, 0]
[27, 0]
[30, [5, 25]]
[33, 0]
[36, 0]
[39, 0]
[42, 0]
[45, 0]
[48, 0]
[51, 0]
[54, 0]
[57, 0]
[60, 0]
[63, 0]
[66, 0]
[69, 0]
[72, 0]
[75, 0]
[78, 0]
[81, 0]
[84, 0]
[87, 0]
[90, 0]
[93, [8, 20, 25, 40]]
[96, 0]
[99, 0]
[102, 0]
[105, 0]
[108, 0]
[111, 0]
[114, 0]
[117, 0]
[120, 0]
[123, 0]
[126, 0]
[129, [8, 16, 25, 80]]
[132, 0]
[135, 0]
[138, 0]
[141, 0]
[144, 0]
[147, 0]
[150, 0]
[153, 0]
[156, 0]
[159, 0]
[162, 0]
[165, 0]
[168, 0]
[171, [10, 16, 25, 40, 80]]
[174, 0]
[177, 0]
[180, 0]
[183, 0]
[186, 0]
[189, 0]
[192, 0]
[195, 0]
[198, 0]
[201, 0]
[204, 0]
[207, 0]
[210, 0]
[213, 0]
[216, 0]
[219, 0]
[222, 0]
[225, 0]
[228, 0]
[231, 0]
[234, 0]
[237, 0]
[240, 0]
[243, [10, 16, 25, 32, 160]]
[246, 0]
[249, 0]
[252, 0]
[255, 0]
[258, 0]
[261, 0]
[264, 0]
[267, 0]
[270, 0]
[273, 0]
[276, 0]
[279, 0]
[282, 0]
[285, 0]
[288, 0]
[291, 0]
[294, 0]
[297, 0]
[300, 0]
[303, [8, 20, 25, 50, 200]]
[306, 0]
[309, 0]
[312, 0]
[315, 0]
[318, [8, 10, 100, 200]]
[321, 0]
[324, 0]
[327, [10, 20, 25, 32, 80, 160]]
[330, 0]
[333, 0]
[336, 0]
[339, 0]
[342, 0]
[345, [5, 40, 100, 200]]
[348, 0]
[351, 0]
[354, 0]
[357, 0]
[360, 0]
[363, 0]
[366, 0]
[369, 0]
[372, 0]
[375, 0]
[378, 0]
[381, [10, 16, 25, 50, 80, 200]]
[384, 0]
[387, 0]
[390, 0]
[393, 0]
[396, 0]
[399, 0]
[402, 0]
[405, 0]
[408, 0]
[411, 0]
[414, 0]
[417, 0]
[420, 0]
[423, 0]
[426, [10, 16, 20, 80, 100, 200]]
[429, 0]
[432, 0]
[435, 0]
[438, 0]
[441, 0]
[444, [8, 16, 20, 400]]
[447, 0]
[450, 0]
[453, 0]
[456, 0]
[459, 0]
[462, 0]
[465, 0]
[468, 0]
[471, [10, 20, 25, 32, 64, 320]]
[474, 0]
[477, 0]
[480, 0]
[483, 0]
[486, [10, 16, 20, 40, 400]]
[489, [8, 25, 32, 40, 64, 320]]
[492, 0]
[495, 0]
[498, [8, 10, 80, 400]]
[501, 0]
[504, 0]
[507, 0]
[510, 0]
[513, 0]
[516, [8, 16, 32, 100, 160, 200]]
[519, 0]
[522, 0]
[525, [5, 40, 80, 400]]
[528, 0]
[531, 0]
[534, 0]
[537, 0]
[540, 0]
[543, [16, 20, 25, 32, 40, 50, 160, 200]]
[546, 0]
[549, [8, 16, 25, 100, 400]]
[552, 0]
[555, [8, 25, 32, 50, 80, 160, 200]]
[558, [10, 16, 32, 40, 100, 160, 200]]
[561, 0]
[564, 0]
[567, 0]
[570, 0]
[573, 0]
[576, 0]
[579, 0]
[582, 0]
[585, 0]
[588, 0]
[591, [10, 16, 25, 40, 100, 400]]
[594, 0]
[597, [5, 32, 160, 400]]
[600, [8, 20, 32, 80, 100, 160, 200]]
[603, 0]
[606, 0]
[609, 0]
[612, 0]
[615, 0]
[618, 0]
[621, 0]
[624, 0]
[627, 0]
[630, 0]
[633, [8, 20, 25, 80, 100, 400]]
[636, 0]
[639, [10, 20, 25, 40, 64, 160, 320]]
[642, [10, 20, 32, 40, 80, 100, 160, 200]]
[645, 0]
[648, 0]
[651, 0]
[654, 0]
[657, 0]
[660, [8, 20, 32, 40, 160, 400]]
[663, 0]
[666, 0]
[669, 0]
[672, 0]
[675, [10, 16, 25, 64, 80, 160, 320]]
[678, 0]
[681, 0]
[684, 0]
[687, 0]
[690, 0]
[693, 0]
[696, [8, 16, 32, 80, 160, 400]]
[699, [8, 25, 32, 50, 64, 200, 320]]
[702, 0]
[705, 0]
[708, 0]
[711, 0]
[714, [8, 16, 40, 50, 200, 400]]
[717, 0]
[720, 0]
[723, 0]
[726, 0]
[729, 0]
[732, 0]
[735, [5, 50, 80, 200, 400]]
[738, [10, 16, 32, 40, 80, 160, 400]]
[741, [10, 25, 32, 40, 50, 64, 200, 320]]
[744, [8, 20, 32, 64, 100, 200, 320]]
[747, [10, 20, 25, 32, 100, 160, 400]]
[750, 0]
[753, 0]
[756, 0]
[759, 0]
[762, 0]
[765, [8, 25, 32, 40, 100, 160, 400]]
[768, 0]
[771, 0]
[774, 0]
[777, 0]
[780, [5, 50, 100, 125, 500]]
[783, 0]
[786, [10, 20, 32, 40, 64, 100, 200, 320]]
[789, 0]
[792, 0]
[795, 0]
[798, [8, 20, 40, 50, 80, 200, 400]]
[801, [10, 16, 25, 50, 100, 200, 400]]
[804, 0]
[807, [16, 20, 25, 32, 50, 64, 80, 200, 320]]
[810, 0]
[813, 0]
[816, 0]
[819, 0]
[822, [10, 16, 32, 64, 80, 100, 200, 320]]
[825, 0]
[828, 0]
[831, 0]
[834, 0]
[837, 0]
[840, [8, 16, 32, 64, 320, 400]]
[843, [8, 10, 125, 200, 500]]
[846, 0]
[849, [5, 64, 100, 160, 200, 320]]
[852, 0]
[855, 0]
[858, 0]
[861, 0]
[864, 0]
[867, [8, 25, 40, 50, 64, 160, 200, 320]]
[870, [5, 40, 125, 200, 500]]
[873, [16, 20, 25, 32, 40, 80, 100, 160, 400]]
[876, 0]
[879, [8, 16, 50, 80, 100, 125, 500]]
[882, [10, 16, 32, 40, 64, 320, 400]]
[885, [8, 20, 25, 64, 128, 640]]
[888, 0]
[891, 0]
[894, 0]
[897, 0]
[900, 0]
[903, [8, 25, 40, 50, 80, 100, 200, 400]]
[906, [8, 16, 32, 50, 800]]
[909, 0]
[912, [8, 20, 40, 64, 100, 160, 200, 320]]
[915, 0]
[918, 0]
[921, [10, 16, 40, 50, 80, 100, 125, 500]]
[924, [8, 20, 32, 64, 80, 320, 400]]
[927, [10, 20, 25, 40, 64, 128, 640]]
[930, 0]
[933, 0]
[936, 0]
[939, 0]
[942, 0]
[945, 0]
[948, [10, 16, 32, 40, 50, 800]]
[951, [10, 16, 20, 80, 125, 200, 500]]
[954, 0]
[957, 0]
[960, 0]
[963, [10, 16, 25, 64, 80, 128, 640]]
[966, [10, 20, 32, 40, 64, 80, 320, 400]]
[969, [8, 16, 40, 80, 125, 200, 500]]
[972, 0]
[975, [8, 25, 32, 50, 100, 160, 200, 400]]
[978, [8, 20, 25, 100, 125, 200, 500]]
[981, 0]
[984, 0]
[987, 0]
[990, [8, 20, 32, 50, 80, 800]]
[993, [10, 16, 32, 50, 100, 125, 160, 500]]
[996, 0]
[999, 0]
[1002, 0]
[1005, 0]
[1008, [8, 16, 40, 64, 160, 320, 400]]
[1011, 0]
[1014, 0]
[1017, [10, 25, 32, 40, 50, 100, 160, 200, 400]]
[1020, [10, 20, 25, 40, 100, 125, 200, 500]]
[1023, 0]
[1026, 0]
[1029, [5, 64, 80, 160, 320, 400]]
[1032, [10, 20, 32, 40, 50, 80, 800]]
[1035, 0]
[1038, 0]
[1041, [8, 16, 32, 125, 160, 200, 500]]
[1044, 0]
[1047, 0]
[1050, 0]
[1053, 0]
[1056, [10, 16, 20, 50, 160, 800]]
[1059, 0]
[1062, 0]
[1065, 0]
[1068, 0]
[1071, [10, 25, 32, 40, 64, 80, 100, 320, 400]]
[1074, [8, 16, 25, 125, 400, 500]]
[1077, [10, 20, 32, 50, 80, 100, 125, 160, 500]]
[1080, 0]
[1083, [10, 16, 25, 32, 200, 800]]
[1086, 0]
[1089, 0]
[1092, [8, 20, 40, 64, 80, 160, 320, 400]]
[1095, [5, 50, 80, 160, 800]]
[1098, 0]
[1101, 0]
[1104, 0]
[1107, 0]
[1110, 0]
[1113, 0]
[1116, [10, 16, 25, 40, 125, 400, 500]]
[1119, 0]
[1122, 0]
[1125, [8, 20, 32, 80, 125, 160, 200, 500]]
[1128, 0]
[1131, 0]
[1134, 0]
[1137, [5, 64, 100, 128, 200, 640]]
[1140, 0]
[1143, 0]
[1146, 0]
[1149, 0]
[1152, 0]
[1155, [8, 25, 40, 50, 64, 128, 200, 640]]
