[1, 78]
[2, 79]
[1/2, 97]
[2/3, 82]
[3/2, 75]
[3/4, 83]
[3/8, 96]
[4/3, 79]
[4/5, 66]
[5/2, 89]
[5/3, 83]
[5/4, 96]
[5/6, 74]
[5/7, 89]
[5/8, 85]
[6/5, 83]
[6/7, 81]
[7/3, 96]
[7/4, 84]
[7/5, 77]
[7/6, 84]
[7/8, 91]
[7/9, 89]
[7/10, 81]
[7/12, 70]
[7/15, 98]
[8/5, 84]
[8/7, 85]
[8/9, 90]
[8/15, 77]
[9/4, 97]
[9/5, 67]
[9/7, 89]
[9/8, 84]
[9/10, 80]
[9/20, 93]
[10/7, 88]
[10/9, 83]
[11/5, 84]
[11/6, 75]
[11/7, 89]
[11/8, 76]
[11/9, 87]
[11/10, 97]
[11/12, 66]
[11/14, 86]
[11/15, 85]
[11/20, 89]
[11/21, 98]
[11/24, 94]
[12/7, 90]
[13/5, 100]
[13/6, 85]
[13/7, 82]
[13/8, 86]
[13/9, 99]
[13/10, 86]
[13/12, 69]
[13/14, 95]
[13/15, 80]
[13/18, 100]
[13/20, 85]
[13/21, 97]
[13/28, 87]
[13/30, 96]
[14/13, 91]
[14/15, 98]
[15/7, 86]
[15/8, 92]
[15/11, 100]
[15/14, 92]
[15/28, 99]
[16/7, 90]
[16/9, 90]
[16/15, 81]
[16/21, 96]
[17/7, 98]
[17/8, 85]
[17/9, 91]
[17/10, 78]
[17/11, 97]
[17/12, 79]
[17/14, 91]
[17/15, 89]
[17/16, 94]
[17/20, 78]
[17/21, 89]
[17/24, 78]
[17/28, 88]
[18/17, 95]
[18/35, 98]
[19/8, 94]
[19/9, 84]
[19/10, 81]
[19/12, 71]
[19/14, 90]
[19/15, 68]
[19/16, 97]
[19/20, 81]
[19/21, 88]
[19/24, 74]
[19/28, 91]
[19/30, 78]
[19/40, 99]
[20/19, 97]
[20/21, 89]
[21/10, 98]
[21/20, 80]
[21/25, 91]
[22/15, 73]
[22/21, 80]
[23/10, 87]
[23/12, 67]
[23/14, 84]
[23/15, 72]
[23/16, 92]
[23/18, 88]
[23/20, 84]
[23/21, 93]
[23/24, 89]
[23/28, 97]
[23/30, 94]
[23/35, 95]
[23/42, 93]
